ccn,location,latitude,longitude,block,offensekey,offensegroup,method,offense,sector,start_date,end_date,shift,year,neighborhood_cluster,psa,census_tract,ward,bid,district,ucr-rank,voting_precinct
25002077,"38.9037316022,-77.0047283051",38.9037316,-77.00472831,100 - 199 block of l street ne,property|theft/other,property,others,theft/other,5D1,04-01-2025,02-03-2025,evening,2025,cluster 25,501,10603,6,noma,5,6,precinct 144
25008226,"38.9037432394,-77.0416730027",38.90374324,-77.041673,18th street nw and l street nw,property|theft f/auto,property,others,theft f/auto,2D3,18-01-2025,02-03-2025,midnight,2025,cluster 6,207,10700,2,golden triangle,2,7,precinct 17
25013256,"38.917236462,-77.0229457261",38.91723646,-77.02294573,2000 - 2099 block of 8th street nw,property|theft/other,property,others,theft/other,3D2,28-01-2025,28-01-2025,day,2025,cluster 3,305,3500,1,Unknown,3,6,precinct 37
25001526,"38.9094049494,-76.9975459006",38.90940495,-76.9975459,1300 - 1399 block of 5th street ne,property|motor vehicle theft,property,others,motor vehicle theft,5D1,03-01-2025,03-01-2025,evening,2025,cluster 23,501,8803,5,Unknown,5,8,precinct 76
25002498,"38.9308014266,-77.0373827045",38.93080143,-77.0373827,1600 - 1665 block of lamont street nw,property|theft/other,property,others,theft/other,3D1,02-01-2025,03-01-2025,midnight,2025,cluster 2,302,2702,1,Unknown,3,6,precinct 40
25017327,"38.8960181546,-77.0473467599",38.89601815,-77.04734676,2100 - 2199 block of e street nw,property|theft/other,property,others,theft/other,2D3,05-02-2025,05-02-2025,day,2025,cluster 5,207,10800,2,Unknown,2,6,precinct 2
25017594,"38.9851659857,-77.0273832155",38.98516599,-77.02738322,7800 - 7899 block of eastern avenue nw,property|theft f/auto,property,others,theft f/auto,4D1,05-02-2025,05-02-2025,day,2025,cluster 16,401,1600,4,Unknown,4,7,precinct 62
25023513,"38.9649522356,-77.0281530419",38.96495224,-77.02815304,1000 - 1199 block of rittenhouse street nw,property|motor vehicle theft,property,others,motor vehicle theft,4D1,16-02-2025,17-02-2025,evening,2025,cluster 17,402,1804,4,Unknown,4,8,precinct 60
25006190,"38.9587270205,-77.0069694579",38.95872702,-77.00696946,25 - 99 block of madison street ne,property|theft f/auto,property,others,theft f/auto,4D2,13-01-2025,14-01-2025,day,2025,cluster 17,406,9505,4,Unknown,4,7,precinct 65
25018130,"38.9025200206,-77.0169168373",38.90252002,-77.01691684,400 - 443 block of k street nw,violent|robbery,violent,others,robbery,1D1,06-02-2025,06-02-2025,day,2025,cluster 8,101,4702,6,mount vernon triangle cid,1,4,precinct 1
25006900,"38.9118618726,-77.0161674052",38.91186187,-77.01616741,1600 - 1699 block of 4th street nw,property|motor vehicle theft,property,others,motor vehicle theft,3D2,15-01-2025,15-01-2025,day,2025,cluster 21,308,4600,5,Unknown,3,8,precinct 19
25014853,"38.9295168861,-77.0327298633",38.92951689,-77.03272986,3100 - 3299 block of 14th street nw,property|theft/other,property,others,theft/other,3D1,31-01-2025,31-01-2025,day,2025,cluster 2,302,2802,1,Unknown,3,6,precinct 39
25016590,"38.907238228,-77.0074918952",38.90723823,-77.0074919,1 - 99 block of n street ne,property|motor vehicle theft,property,others,motor vehicle theft,5D1,03-02-2025,02-03-2025,evening,2025,cluster 25,501,10601,6,noma,5,8,precinct 144
25013322,"38.9793901238,-77.0239799675",38.97939012,-77.02397997,700 - 799 block of geranium street nw,property|theft/other,property,others,theft/other,4D1,28-01-2025,28-01-2025,evening,2025,cluster 17,401,10300,4,Unknown,4,6,precinct 63
25022007,"38.8806810777,-77.0263543816",38.88068108,-77.02635438,1 - 99 block of blair alley sw,property|theft/other,property,others,theft/other,1D1,13-02-2025,14-02-2025,evening,2025,cluster 9,103,10202,6,southwest,1,6,precinct 142
25001873,"38.8944740251,-76.9496254665",38.89447403,-76.94962547,3905 - 3999 block of minnesota avenue ne,property|theft f/auto,property,others,theft f/auto,6D3,04-01-2025,04-01-2025,evening,2025,cluster 32,603,9603,7,Unknown,6,7,precinct 102
25006275,"38.8314649558,-77.0083188214",38.83146496,-77.00831882,1 - 99 block of atlantic street sw,property|theft/other,property,others,theft/other,7D3,14-01-2025,02-03-2025,day,2025,cluster 39,708,9807,8,Unknown,7,6,precinct 124
25013659,"38.8637214143,-76.9503981978",38.86372141,-76.9503982,2004 - 2199 block of fort davis street se,property|motor vehicle theft,property,others,motor vehicle theft,6D2,28-01-2025,29-01-2025,day,2025,cluster 35,606,7603,7,Unknown,6,8,precinct 110
25014763,"38.9021000122,-77.022952155",38.90210001,-77.02295216,700 - 899 block of k street nw,property|theft/other,property,others,theft/other,1D1,31-01-2025,02-03-2025,day,2025,cluster 8,101,5802,2,downtown,1,6,precinct 129
25022329,"38.9483556235,-76.989453431",38.94835562,-76.98945343,4713 - 4950 block of sargent road ne,property|motor vehicle theft,property,others,motor vehicle theft,4D2,14-02-2025,15-02-2025,midnight,2025,cluster 20,405,9503,5,Unknown,4,8,precinct 67
25022864,"38.917236462,-77.0229457261",38.91723646,-77.02294573,2000 - 2099 block of 8th street nw,property|theft/other,property,others,theft/other,3D2,16-02-2025,16-02-2025,day,2025,cluster 3,305,3500,1,Unknown,3,6,precinct 37
25014279,"38.9012753565,-76.9826084878",38.90127536,-76.98260849,812 - 899 block of bladensburg road ne,property|theft/other,property,others,theft/other,5D3,30-01-2025,06-02-2025,day,2025,cluster 23,507,8903,5,Unknown,5,6,precinct 79
25008650,"38.9562140777,-77.0315605889",38.95621408,-77.03156059,1300 - 1399 block of kennedy street nw,property|motor vehicle theft,property,others,motor vehicle theft,4D1,18-01-2025,19-01-2025,midnight,2025,cluster 18,403,2002,4,Unknown,4,8,precinct 54
