latitude,block,offensegroup,location,sector,method,ccn,end_date,longitude,neighborhood_cluster,shift,psa,census_tract,ward,bid,district,year,report_dat,ucr-rank,offensekey,start_date,voting_precinct,offense
38.9037316,100 - 199 block of l street ne,property,"38.9037316022,-77.0047283051",5D1,others,25002077,02-03-2025,-77.00472831,cluster 25,evening,501.0,10603.0,6.0,noma,5.0,2025,"1/4/2025, 10:13:33 PM",6,property|theft/other,04-01-2025,precinct 144,theft/other
38.90374324,18th street nw and l street nw,property,"38.9037432394,-77.0416730027",2D3,others,25008226,02-03-2025,-77.041673,cluster 6,midnight,207.0,10700.0,2.0,golden triangle,2.0,2025,"1/18/2025, 4:03:46 AM",7,property|theft f/auto,18-01-2025,precinct 17,theft f/auto
38.91723646,2000 - 2099 block of 8th street nw,property,"38.917236462,-77.0229457261",3D2,others,25013256,28-01-2025,-77.02294573,cluster 3,day,305.0,3500.0,1.0,Unknown,3.0,2025,"1/28/2025, 1:14:31 PM",6,property|theft/other,28-01-2025,precinct 37,theft/other
38.90940495,1300 - 1399 block of 5th street ne,property,"38.9094049494,-76.9975459006",5D1,others,25001526,03-01-2025,-76.9975459,cluster 23,evening,501.0,8803.0,5.0,Unknown,5.0,2025,"1/3/2025, 9:14:02 PM",8,property|motor vehicle theft,03-01-2025,precinct 76,motor vehicle theft
38.93080143,1600 - 1665 block of lamont street nw,property,"38.9308014266,-77.0373827045",3D1,others,25002498,03-01-2025,-77.0373827,cluster 2,midnight,302.0,2702.0,1.0,Unknown,3.0,2025,"1/6/2025, 12:50:14 AM",6,property|theft/other,02-01-2025,precinct 40,theft/other
38.89601815,2100 - 2199 block of e street nw,property,"38.8960181546,-77.0473467599",2D3,others,25017327,05-02-2025,-77.04734676,cluster 5,day,207.0,10800.0,2.0,Unknown,2.0,2025,"2/5/2025, 9:02:12 AM",6,property|theft/other,05-02-2025,precinct 2,theft/other
38.98516599,7800 - 7899 block of eastern avenue nw,property,"38.9851659857,-77.0273832155",4D1,others,25017594,05-02-2025,-77.02738322,cluster 16,day,401.0,1600.0,4.0,Unknown,4.0,2025,"2/6/2025, 11:23:02 AM",7,property|theft f/auto,05-02-2025,precinct 62,theft f/auto
38.96495224,1000 - 1199 block of rittenhouse street nw,property,"38.9649522356,-77.0281530419",4D1,others,25023513,17-02-2025,-77.02815304,cluster 17,evening,402.0,1804.0,4.0,Unknown,4.0,2025,"2/17/2025, 8:10:22 PM",8,property|motor vehicle theft,16-02-2025,precinct 60,motor vehicle theft
38.95872702,25 - 99 block of madison street ne,property,"38.9587270205,-77.0069694579",4D2,others,25006190,14-01-2025,-77.00696946,cluster 17,day,406.0,9505.0,4.0,Unknown,4.0,2025,"1/14/2025, 8:53:39 AM",7,property|theft f/auto,13-01-2025,precinct 65,theft f/auto
38.90252002,400 - 443 block of k street nw,violent,"38.9025200206,-77.0169168373",1D1,others,25018130,06-02-2025,-77.01691684,cluster 8,day,101.0,4702.0,6.0,mount vernon triangle cid,1.0,2025,"2/7/2025, 1:43:15 PM",4,violent|robbery,06-02-2025,precinct 1,robbery
